BUKU,BAB,PASAL,ISI_PASAL,SUB_KLASIFIKASI
,BAB XXVIII,Pasal 420,"(1)  Diancam dengan pidana penjara paling lama sembilan tahun: 1.  seorang hakim yang menerima hadiah atau janji. padahal diketahui bahwa hadiah atau janji itu diberikan untuk mempengaruhi putusan perkara yang menjadi tugasnya; 2.  barang siapa menurut ket.entuan undang-undang ditunjuk menjadi penasihat untuk menghadiri sidang pengadilan, menerima hadiah atau janji, padahal diketahui bahwa hadiah atau janji itu diberikan untuk mempengaruhi nasihat tentang perkara yang harus diputus oleh pengadilan itu. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  (2)  Jika hadiah atau janji itu diterima dengan sadar bahwa hadiah atau janji itu diberikan supaya dipidana dalam suatu perkara pidana, maka yang bersalah diancam dengan pidana penjara paling lama dua belas tahun.",tidak-diketahui
,BAB XXVIII,Pasal 421,"Seorang pejabat yang menyalahgunaka n kekuasaan memaksa seseorang untuk melakukan, tidak melakukan atau membia rkan sesuatu, diancam dengan pidana penjara paling lama dua tahun delapan bulan.",tidak-diketahui
,BAB XXVIII,Pasal 422,"Seorang pejabat yang dalam suatu perkara pidana menggunakan barana paksaan, baik untuk memeras pengakuan, maupun untuk mendapatkan keterangan, diancam dengan pidana penjara paling lama empat tahun.",tidak-diketahui
,BAB XXVIII,Pasal 423,"Seorang pejabat dengan maksud mengunt ungkan diri sendiri atau orang lain secara melawan hukum, dengan menyalahgunakan kekuasaannya, memaksa seseorang untuk memberikan sesuatu, untuk membayar atau menerima pembayaran dengan potongan, atau un tuk mengerjakan sesuatu bagi dirinya sendiri, diancam dengan pidana penjara paling lama enam tahun.",tidak-diketahui
,BAB XXVIII,Pasal 424,"Seorang pejabat dengan maksud mengunt ungkan diri sendiri atau orang lain secara melawan hukum, dengan menyal ahgunakan kekuasaannya, menggunakan tanah negara di atas mana ada hak hak pakai Indonesia, diancam dengan pidana penjara paling lama enam tahun.",pelanggaran properti
,BAB XXVIII,Pasal 425,"Diancam karena melakukan pemerasan dengan pidana penjara paling lama tujuh tahun: 1.  seorang pejabat yang pada waktu menjalankan tugas, meminta, menerima, atau memotong pembayaran, seolah-o lah berhutang kepadanya, kepada pejabat lainnya atau kepada kas umum, padahal diketahuinya bahwa tidak demikian adanya; 2.  seorang pejabat yang pada wakt u menjalankan tugas, meminta atau menerima pekerjaan orang atau penyer ahan barang seolah olah merupakan hutang kepada dirinya, padahal diketahuinya bahwa tidak demikian halnya; 3.  seorang pejabat yang pada waktu menjalankan tugas, seolaholah sesuai dengan aturan-aturan yang bersangkutan telah menggunakan tanah negara yang di atasnya ada hak-hak pakai Indo nesia dengan merugikan yang berhak padahal diketahui nya bahwa itu bertentangan dengan peraturan tersebut.",pelanggaran properti
,BAB XXVIII,Pasal 426,"(1)  Seorang pejabat yang diberi tuga s menjaga orang yang dirampas kemerdekaannya atas perintah pengua sa umum atau atas putusan atau Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  ketetapan pengadilan, dengan sengaja membiarkan orang itu melarikan diri atau dengan sengaja melepaskannya, atau memberi pertolongan pada waktu dilepas atau melepaskan diri., diancam dengan pidana penjara paling lama empat tahun. (2)  Jika orang itu lari, dilepaskan, atau melepaskan diri karena kesalahan (kealpaan), maka yang bersangkutan diancam dengan pidana kurungan paling lama dua bulan atau pidana denda paling banyak empat ribu lima ratus rupiah.",tidak-diketahui
,BAB XXVIII,Pasal 427,"(1)  Diancam dengan pidana penjar a paling lama empat tahun: 1.  seorang pejabat dengan tugas menyid ik perbuatan pidana, yang sengaja tidak memenuhi permintaan untuk menyatakan bahwa ada orang dirampas kemerdekaannya secara melawan hukum, atau yang sengaja tidak memberitahukan hal itu kepada kekuasaan yang lebih tinggi; 2.  seorang pejabat yang dalam menjalankan tugasnya mengetahui bahwa ada orangdirampas kemerdekaannya secara melawan hukum, sengaja tidak memberitahukan hal itu dengan sepera kepada pejabat yang bertugas menyidik perbuatan pidana. (2)  Seorang pejahat yang bersalah (alpa) menyebabkan apa yang dirumuskan dalam pasal ini terlaksana, diancam dengan pidana kurungan paling lama tiga bulan atau pidana denda paling banyak empat ribu lima ratus rupiah.",tidak-diketahui
,BAB XXVIII,Pasal 428,"Diancam dengan pidana penjara paling lama satu tahun empat bulan, seorang kepala lembaga pemasyarakatan temp at menutup orang terpidana, orang tahanan sementara atau orang yang disa ndera, atau seorang kepala lembaga pendidikan negara atau rumah sakit ji wa, yang menolak memenuhi permintaan menurut udang-undang supaya memperlihatkan orang yang dimasukkan di situ, atau supaya memperlihatkan register masuk, atau akta- akta yang menuzut aturan-aturan umum harus ada unt uk memasukkan orang di situ.",pelanggaran properti
,BAB XXVIII,Pasal 429,"(1)  Seorang pejabat yang melampaui kekuas aan atau tanpa mengindahkan cara- cara yang ditentukan dalam peraturan umum, memaksa masuk ke dalam rumah atau ruangan atau pekarangan terututup yang dipakai oleh orang lain, atau jika berada di situ secara melawan hukum, tidak segera pergi atas permintaan yang berhak atau atas na ma orang itu, diancam dengan pidana penjara paling lama satu tahun empat bulan atau pidana denda paling tinggi empat ribu lima ratus rupiah. (2)  Diancam dengan pidana yang sama, seorang pejabat yang pada waktu menggeledah rumah, dengan mela mpaui ke kuasaannya atau tanpa mengindahkan cara-cara yang ditentukan dalam peraturan umum, memeriksa atau merampas surat surat, buku-buku atau kertas-kertas lain. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3",pelanggaran properti
,BAB XXVIII,Pasal 430,"(1)  Seorang pejabat yang melampaui keku asaannya, menyuruh memperlihatkan kepadanya atau merampas surat, kartu pos, barang atau paket yang diserahkan kepada lembaga pengangkutan umum atau kabar kawat yang dalam tangan pejabat telegrap untuk keperluan umum, diancam dengan pidana penjara paling lama dua tahun delapan bulan. (2)  Pidana yang sama dijatuhkan kepada pejabat yang melampaui kekuasaannya, menyuruh seorang pejaba t telepon atau orang lain yang diberi tugas pekerjaan telepon untuk keperluan umum, memberi keterangan kepadanya tentang sesuatu percakapan yang dilakukan denggan perantaraaan lembaga itu.",tidak-diketahui
,BAB XXVIII,Pasal 431,"Seorang pejabat, suatu lembaga peng angkutan umum yang sengaja dan melaivan hukum membuka suatu surat barang tertutup atau paket yang diserahkan kepada lembaga itu. memeriksa isinya, atau memberitahukan isinya kepada orang lain, diancam dengan pida na penjara paling lama dua tahun.",tidak-diketahui
,BAB XXVIII,Pasal 432,"(1)  Seorang pejahat suatu lembaga pengangkutan umum yang dengan sengaja memberikan kepada orang lain daripada yang berhak, surat tertutup, kartu pos atau paket yang dipercayak an kepada lembaga itu, atau menghancurkan, menghilangkan, memili ki sendiri atau mengubah isinya, atau memiliki sendiri barang sesuatu yang ada di dalamnya diancam dengan pidana penjara paling lama lima tahun. (2)  Jika surat atau barang itu bernilai uang, maka pemilikan sendiri itu diancam dengan pidana penjara paling lama tujuh tahun.",tidak-diketahui
,BAB XXVIII,Pasal 433,"Seorang pejabat telegrap atau telepo n, atau orang lain yang ditugasi mengaxvasi pekerjaan telegrap atau telepon yang digunakan untuk kepentingan umum, diancam: 1.  dengan pidana penjara paling lama dua tahun. jika ia dengan sengaja dan melawan hukum memberitahukan kepada orang lain, kabar yang diserahkan kepada jawatan telegrap atau telepo n atau kepada lembaga semacam itu, atau dengan sengaja dan melawan hukum membuka, membaca, atau memberitahukan kabar telegrap at au telepon kepada orang lain; 2.  dengan pidana penjara paling lama lima tahun, jika ia dengan sengaja memberikan kepada orang lain daripada yang berhak atau. menghancurkan, menghilangkan, memiliki sendiri atau mengubah isi suatu berita telegrap atau telepon yang diserahkan kepada jawatan telegrap, telepon atau pada lembaga semacam itu.",tidak-diketahui
,BAB XXVIII,Pasal 434,"Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  Seorang pejabat suatu lembaga pengangk utan umum, seorang pejabat telegrap atau telepon atau orang lain yang di maksud dalam pasal 433, yang dengan sengaja membiarkan orang lain melakukan salah satu perbuatan berdasarkan pasal 431 - 433, atau membantu orang lain dalam perbuatan itu, diancam dengan pidana menurut perbedaan-perbedaan yang ditetapkan dalam pasal- pasal tersebut.",tidak-diketahui
,BAB XXVIII,Pasal 435,"Seorang pejabat yang dengan langsung maupun tidak langsung sengaja turut serta dalam pemborongan, penyerahan atau persewaan, yang pada saat dilakukan perbuatan, untuk seluruh atau sebagian, dia ditugaskan mengurus atau mengawasinya, diancam dengan pi dana penjara paling lama sembilan bulan atau pidana denda paling banyak delapan belas ribu rupiah.",tidak-diketahui
,BAB XXVIII,Pasal 436,"(1)  Barang siapa menurut hukum yang berlaku bagi masing- masing pihak mempunyai kewenangan melangsungkan perkawinan seseorang, padahal diketahuinya bahwa perkawinan atau pe rkawinan-perkawinan orang itu yang telah ada men jadi halangan untuk lt u berdasarkan undang-undang, diancam dengan pidana penjara paling lama tujuh tahun. (2)  Barang siapa menurut hukum yang berlaku bagi masing-masing pihak mempunyai kewenangan melangsungkan perkawinan seseorang, padahal diketahuinya ada halangan untuk itu berdasarkan undang-undang diancam dengan pidana penjara paling lama dua tahun delapan bulan atau pidana denda paling banyak empat ribu lima ratus rupiah.",tidak-diketahui
,BAB XXIX,Pasal 437,"Dalam hal pemidanaan berdasarkan pasal 415 419, 420 423 434, 425, 432 ayat penghabisan, dan pasal 436 ayat pertam a. dapat dijatuhkan pencabutan hak berdasarkan pasal 35. No.3 dan 4.   KEJAHATAN PELAYARAN",tidak-diketahui
,BAB XXIX,Pasal 438,"(1)  Diancam karena melakukan pembajakan di laut: 1.  dengan pidana penjara paling lama lima belas tahun, barang siapa masuk bekerja menjadi nahkoda atau menj alankan pekerjaan itu di sebuah kapal, padahal diketahuinya bahwa kapal itu diperuntukkan atau digunakan untuk melakukan perbuatan-perbuatan kekerasan di lautan bebas terhadap kapal lain atau terh adap orang dan barang di atasnya, tanpa mendapat kuasa untuk itu dari sebuah negara yang berperang atau tanpa masuk angkatan laut suatu negara yang diakui; 2.  dengan pidana penjara paling la ma dua belas tahun, barang siapa mengetahui tentang tujuan atau pe nggunaan kapal itu, masuk bekerja Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  menjadi kelasi kapal tersebut atau dengan suka rela terus menjalankan pekerjaan tersebut setelab hal itu di ketahui olehnya, ataupun termasuk anak buah kapal tersebut. (2)  Disamakan dengan tidak punya surat kuasa, jika melampaui apa yang dikuasakan, demikian juga jika meme gang surat kuasa dari negara-negara yang berperang satu dengan yang lainnya. (3)",kekerasan
,BAB XXIX,Pasal 89 tidak diterapkan.,,tidak-diketahui
,BAB XXIX,Pasal 439,"(1)  Diancam karena melakukan pembajakan di tepi laut dengan pidana penjara paling lama lima belas tahun, barang siapa dengan memakai kapal melakukan perbuatan kekerasan terhadap kapal lain atau terhadap orang atau barang di atasnya, di perairan Indonesia. (2)  Yang dimaksud dengan wilayah laut Indonesia yaitu wilayah "" Territoriale zee en maritieme kringen ordonantie , S. 1939 442.""",kekerasan
,BAB XXIX,Pasal 440,"Diancam karena melakukan pembajakan di pantai dengan pidana penjara paling lama lima belas tahun, barang siapa yang di darat maupun di air sekitar pantai atau muara sungai, melakukan perbua tan kekerasan terhadap orang atau barang di situ, setelah lebih dahulu menyeberangi lautan seluruhnya atau sebagiannya untuk tujuan tersebut.",kekerasan
,BAB XXIX,Pasal 441,"Diancam karena melakukan pembajakan di sungai dengan pidana penjara paling lama lima belas tahun, barang siapa dengan memakai kapal melakukan perbuatan kekerasan di sungai terhadap kapal lain atau terhadap orang atau barang di atasnya, setelah datang ke tempat dan untuk tujuan tersebut dengan kapal dari tempat lain.",kekerasan
,BAB XXIX,Pasal 442,"Diancam dengan pidana penjara paling lama lima belas tahun, barang siapa yang menerima atau melakukan pekerj aan sebagai komandan atau pemimpin sebuah kapal. padahal diketahuinya bahwa kapal itu diperuntukkan atau digunakan untuk melakukan salah satu perbuatan yang dirumuskan dalam pasal 439 - 441.",tidak-diketahui
,BAB XXIX,Pasal 443,"Diancam dengan pidana penjara paling lama sepuluh tahun barang siapa yang menerima atau melakukan pekerjaan sebagai kelasi di sebuah kapal, padahal diketahuinya bahwa kapal itu diperuntuk kan atau digunakan untuk melakukan salah satu perbuatan yang dirumuskan dalam pasal 439 - 441 ataupun dengan sukarela tetap tinggal bekerja di kapal itu, sesudah diketahui olehnya bahwa kapal itu digunakan seperti diterangkan di atas.  Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3",tidak-diketahui
,BAB XXIX,Pasal 444,"Jika perbuatan kekerasan yang diterangkan dalam pasal 438 - 441 mengakibatkan seseorang di kapal yang diserang atau seseorang yang diserang itu mati maka nakoda. komandan atau pemimpin kapal dan mereka yang turut serta melakukan perbuatan kekerasan, diancam dengan pidana mati, pidana penjara seumur hidup, atau pidana penjara selama waktu tertentu paling lama dua puluh tahun.",kekerasan
,BAB XXIX,Pasal 445,"Barang siapa melengkapi kapal atas bi aya sendiri atau orang lain, dengan maksud untuk digunakan sebagai yang dirumuskan dalam pasal 438 atau dengan maksud untuk melakukan salah satu per- buatan yang dirumuskan dalam pasal 439 - 441, diancam dengan pidana penjar a paling lama lima belas tahun.",tidak-diketahui
,BAB XXIX,Pasal 446,"Barang siapa atas biaya sendiri atau or ang lain, secara lang sung maupun tidak langsung turut melaksanakan penyew aan, pemuatan atau pertanggungan sebuah kapal, padahal diketahuinya bahwa kapal itu akan digunakan sebagai yang dirumuskan dalam pasal 438, 38, atau untuk melakukan salah satu perbuatan yang dirumuskan dalam pa sal 439 - 441, diancam dengan pidana penjara paling lama dua belas tahun dalam",pelanggaran perlindungan anak
,BAB XXIX,Pasal 447,"Barang siapa dengan sengaja menyer ahkan sebuah kapal Indonesia dalam kekuasaan bajak laut, bajak tepi laut, bajak pantai, dan bajak sungai, diancam: 1.  dengan pidana penjara paling lama lima belas tahun. jika ia adalah nakoda kapal itu; 2.  dengan pidana penjara paling lama dua belas tahun, dalam hal-hal lain.",tidak-diketahui
,BAB XXIX,Pasal 448,"Seorang penumpang kapal Indonesia yang merampas kekuasaav atas kapal secara melawan hukum, diancam dengan pidana penjara paling lama tujuh tahun.",tidak-diketahui
,BAB XXIX,Pasal 449,"Seorang nakoda sebuah hapal Indonesia yang menarik kapal dari pemiliknya atau dari pengusahanya dan memakainya untul keuntungan sendiri, diancam dengan pidana penjara paling lama delapan tahun enam bulan.",tidak-diketahui
,BAB XXIX,Pasal 450,"Seorang warga negara Indonesia yang tanpa izin Pemerintah Indonesia menerima surat, bajak, maupun mene rima atau men jalankan pekerjaan sebagai nakoda sebuah kapal, padahal diketahui bahwa kapal itu diperuntukkan Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  atau digunakan untuk pelayaran pembajakan tanpa izin Pemerintah Indonesia, diancam dengan pidana penjara paling lima tahun.",tidak-diketahui
,BAB XXIX,Pasal 451,"Seorang warga negara Indonesia yang menerima pekerjaan sebagai kelasi di sebuah kapal. padahal diketahuinya bahwa kapal itu diperuntukkan atau digunakan untuk pelayaran pembajakan tanpa izin Pemerintah Indonesia, ataupun secara suka rela tetap bekerj a sebagai kelasi sesudah diketahuinya tujuan atau pengguaan kapal itu, diancam dengan pidana penjara paling lama empat tahun.",tidak-diketahui
,BAB XXIX,Pasal 451 bis,"(1)  Seorang nakoda sebuah kapal Indonesia yang menyuruh membikin keterangan kapal, yang diketahuinya bahwa isinya bertentangan dengan kenyataan. diancam dengan pidana pe njara paling lama lima tahun. (2)  Kelasi-kelasi yang turut serta menyuruh membikin keterangan kapal yang diketahuinya bahwa isinya tidak benar, diancam dengan piclana penjara paling lama dua tahun delapan bulan.",tidak-diketahui
,BAB XXIX,Pasal 451 ter,"Barang siapa untuk memenuhi peraturan dalam ayat ketiga pasal 12 aturan tentang pendaftaran kapal, memperlihatkan surat keterangan yang diketahuinya bahwa isinya tidak benar, diancam dengan pidana penjara paling lama lima tahun.",tidak-diketahui
,BAB XXIX,Pasal 452,"(1)  Barang siapa dalam berita acara suatu keterangan kapa1, menyuruh menulis keterangun palsu tentang suatu keudann yang kebenarannya harus dinyatakan dalam akta itu dengan maksud untuk menggunakan atau menyuruh orang lain menggunakan akta itu, seolah-olah keterangannya sesuai dengan kenyataan, dianeam, jiks karena penggunaan aktu itu dapat menimbulkan kerugian dengan pidana pe njara paling lama delapan tahun. (2)  Diancam dengan pidana yang sama, barang siapa dengan sengaja menggunakan akta itu seolah-olah isinya sesuai dengan kenyataan, jika karena penggunaan itu dapat timbul kerugian.",tidak-diketahui
,BAB XXIX,Pasal 453,"Diancam dengan pidana penjara paling lama dua tahun delapan bulan, seorang nakoda kapal Indonesia yang sesudah dimulai penerimaan atau penyewaan kelasi. tetapi sebelum perjanjian ha bis dengan sengaja dan melawan hukum menarik diri dari pimpinan kapal itu.",tidak-diketahui
,BAB XXIX,Pasal 454,"Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  Diancam, karena melakukan desersi, dengan pidana penjara paling lama satu tahun empat bulan, seorang kelasi yang , bertentangan dengan kewajibannya menurut persetujuan kerja, menarik diri da ri tugasnya di kapal Indonesia, jika menurut keadaan di waktu melakukan pe rbuatan, ada kekhawatiran timbul bahaya bagi kapal, penumpang atau muatan kapal itu.",tidak-diketahui
,BAB XXIX,Pasal 455,"Diancam karena melakukan desersi biasa, dengan pidana pen jara paling lama empat bulan dua minggu, seorang anak buah kapal kapal Indonesia, yang dengan sengaja dan melawan hukun tidak mengikuti atau tidak meneruskan perjalanan yang telah di setujuinya.",pelanggaran perlindungan anak
,BAB XXIX,Pasal 456,Ditiadakan berdasarkan S. 34 - 124 jo. 38 - 2.,tidak-diketahui
,BAB XXIX,Pasal 457,"Pidana yang ditentukan dalam pasal 454 dan 455 dapat dilipatk an dua, jika dua orang atau lebih dengan bersekutu melakukan kejahatan itu, atau jika kejahatan dilakukan akibat permufakatan jahat untuk berbuat demikian.",tidak-diketahui
,BAB XXIX,Pasal 458,"(1)  Seorang pengusaha, pemegang buku, atau nakoda kapal Indonesia yang menerima seorang anak buah kapal untuk bekerja, padahal mengetahui bahwa anak buah kapal itu belum ada sebulan sejak menarik diri dari persetujuannya dengan kapal Indonesia seperti dirumuskan di dalam salah satu pasal 454 atau 455, diancam dengan pidana penjara paling lama empat bulan dua minggu atau pidana denda paling banyak empat ribu lima ratus rupiah. (2)  Tidak dipidana, jika penerimaan kerja dilakukan di luar Indonesia dengan izin konsul Indonesia. atau kalau ini tidak ada, atas permintaan penguasa setempat.",pelanggaran perlindungan anak
,BAB XXIX,Pasal 459,"(1)  Seorang penumpang kapal Indonesia yang di atas kapal menyerang nakoda, melawannya dengan kekerasan atau an caman kekerasan, dengan sengaja merampas kebebasannya untuk bergerak atau seorang anak buah kapal Indonesia yang di atas kapal dalam pekerjaan berbuat demikian terhadap orang yang lebih tinggi pangkatnya, diancam karena melakukan insubordinasi dengan pidana penjara pa ling lama dua tahun delapan bulan. (2)  Yang bersalah diancam dengan : 1.  pidana penjara paling lama empat tahun, jika kejahatan itu atau perbuatan-perbuatan lain yang menyer tainya mengakibatkan luka-luka; 2.  pidana penjara paling lama delapan tahun enam bulan jika mengakibatkan luka-luka berat; Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  3.  pidana penjara paling lama dua belas tahun, jika mengakibatkan kematian.",kekerasan
,BAB XXIX,Pasal 460,"(1)  Insubordinasi yang dilakukan dua or ang atau lebih dengan bersekutu, diancam karena melakukan pemberontakan di kapal dengan pidana penjara paling lama tujuh tahun. (2)  Yang hersalah diancam dengan 1.  pidana penjara paling lama delapan tahun enam bulan jika kejahatan itu atau perbuatan-perbuatan lain yang menyertainya mengakibatkan luka-luka; 2.  pidana penjara paling lama dua belas tahun, jika mengakibatkan luka-luka berat; 3.  pidana penjara paling lama lima belas tahun jika mengakihatkan kematian.",tidak-diketahui
,BAB XXIX,Pasal 461,"Barang siapa di atas kapal Indonesia menghasut supaya mem berontak, diancam dengan pidana penjara paling lama enam tahun",tidak-diketahui
,BAB XXIX,Pasal 462,Penolakan kerja oleh dua orang anak bu ah kapal Indonesia atau lebih yang dilakukan bersekutu atau akibat permuf akatan jahat diancam dengan pidana penjara paling lama dua tahun delapan bulan.,pelanggaran perlindungan anak
,BAB XXIX,Pasal 463,"Diancam dengan pidana penjara paling la ma sembilan bulan. seorang anak buah kapal Indonesia yang sesudah dikenakan tiv dakan disiplin karena menolak kerja, masih tetap me nolak kerja juga.",pelanggaran perlindungan anak
,BAB XXIX,Pasal 464,"(1)  Diancam dengan pidana penjara paling lama sembilan bulan atau denda paling banyak empat ribu lima ratus rupial seorang penumpang kapal Indonesia; 1.  yang sengaja tidak menurut perintah nakoda yang diberikan untuk keamanan atau untuk meneguhkan ketert iban dan disiplin di atas kapal; 2.  yang tidak memberi pertolongan menurut kemampuannya kepada nakoda, ketika diketahuinya bahwa dia dirampas kemerdekaanya untuk bergerak; 3.  yang sengaja tidak memberitahukan kepada nakoda ketika diketahuinya adanya niat untuk melakukan insubordinasi. (2)  Ketentuan tersebut pada no. 3 tidak berl aku jika insuhordinasi tidak terjadi.",tidak-diketahui
,BAB XXIX,Pasal 465,"Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  Pidana yang diancam pada pasal 448 451 454 464 dapat ditambah sepertiga, jika yang melakukan salah satu kejahatan yang dirumuskan dalam pasal itu, berpangkat perwira kapal.",tidak-diketahui
,BAB XXIX,Pasal 466,"Seorang nakoda kapal Indonesia yang dengan maksud menguntungkan diri sendiri atau orang lain dengan melawa n hukum atau untuk menutupi perbuatan itu menjual kapalnya, atau meminjam uang dengan mempertanggungkan kapalnya atau perlengkapan kapal itu at au perbekalannya, atau menjual atau menggadaikan kapal itu barang muatan at au barang perbekalan kapal itu, atau mengurangi kerugian atau belanja, atau tidak menjaga supaya buku-buku harian harian di kapal dipelihara menurut undang-undang, ataupun tidak mengurus keselamatan surat-surat kapal ketika meninggalkan kapalnya, diancam dengan pidana penjara paling lama tujuh",tidak-diketahui
,BAB XXIX,Pasal 467,"Seorang nakoda kapal Indonesia, yang dengan maksud untuk menguntungkan diri sendiri atau orang lain secara melawan hukum, atau untuk menutupi keuntungan yang demikian, mengubah haluan kapalnya, diancam dengan pidana penjara paling lama empat tahun.",tidak-diketahui
,BAB XXIX,Pasal 468,"Seorang nakoda kapal Indonesia yang di luar keharusan atau bertentangan dengan hukum yang berlaku baginya, meninggalkan kapalnya di tengah perjalanan, dan juga menyuruh atau memberi izin kepada anak buahnya untuk berbuat demikian. diancam dengan pidana penjara paling lama lima tahun enam bulan.",pelanggaran perlindungan anak
,BAB XXIX,Pasal 469,"(1)  Seorang nakoda kapal Indonesia yang di luar keharusan dan di luar pengetahuan lebih dahulu dari pemilik atau peng usaha kapal, melakukan atau membiarkan dilakukan perbuatan yang diketahuinya bahwa karena itu kapalnya atau muatannya kemungkinan ditangkap ditahan atau dirintangi diancam dengan pidana penjara paling lama satu tahun empat bulan atau pidana denda sebanyak-banyaknya sembilan ribu rupiah. (2)  Seorang penumpang kapal yang di luar keharusan dan di luar pengetahuan lebih dulu dari nakoda melakukan perbuatan yang sama dengan pengetahuan yang sama pula, dianeair dengan pidana penjara paling lama satu tahun atau pidana denda paling banyak sembilan ribu rupiah.",tidak-diketahui
,BAB XXIX,Pasal 470,Seorang nakoda kapal Indonesia yang di luar keharusan sengaja tidak memberi kepada penumpang kapalnya apa yang wajib di berikan padanya. diancam dengan pidana penjara paling lama dua tahun delapan bulan atau pidana denda paling banyak empat ribu lima ratus rupiah. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3,tidak-diketahui
,BAB XXIX,Pasal 471,"Seorang nakoda kapal Indonesia yang seng aja membuang barang muatan di luar keharusan dan bertentangan dengan hukum yang berlaku baginya, diancam dengan pidana penjara paling lama dua tahun delapan bulan atau pidana denda paling banyak empat rihu lima ratus rupiah.",tidak-diketahui
,BAB XXIX,Pasal 472,"Barang siapa dengan sengaja dan melawan hukum, menghancurkan merusakkan, atau membikin tak dapat di pakai muatan, perbek alan atau barang keperluan yang ada dalam kapal, diancam dengan pidana penjara paling lama dua tahun delapan bulan.",pengrusakan
,BAB XXIX,Pasal 472 bis,"Barang siapa sebagai penumpang gelap turut berlayar di atas sebuah kapal, diancam dengan pidana penjara paling tiga bulan.",tidak-diketahui
,BAB XXIX,Pasal 473,"Seorang nakoda yang memakai bendera Indonesia, padahal diketahuinya bahwa dia tidak berhak untuk itu, diancam dengan pidana penjara paling lama satu tahun empat bulan atau pidana denda paling banyak empat ribu lima ratus rupiah.",tidak-diketahui
,BAB XXIX,Pasal 474,"Seorang nakoda yang dengan niemakai tanda-tanda pada kapalnya sengaja menimbulkan kesan seakan-akan kapalnya adalah kapal perang Indonesia kapal Angkatan Laut atau kapal penunjuk yang bekerja di perairan atau terusan laut Indonesia, diancam dengan pidana penjara paling lama empat bulan dua minggu atau pidana denda paling banyak empat ribu lima ratus rupiah.",tidak-diketahui
,BAB XXIX,Pasal 475,"Baran siapa yang diluar keharusan melakukan pekerjaan nakoda, juru mudi atau masinis di kapal Indonesia padahal diketahuirsya bahwa kewenangannya untuk berlayar telah dicabut oleh penguasa yang berwenang, diancam dengan pidana penjara paling lama sembilan bulan atau pidana denda paling banyak sembilan ribu rupiah.",tidak-diketahui
,BAB XXIX,Pasal 476,"Seorang nakoda kapal Indonesia yang tanpa alasan yang dapat diterima menolak untuk memenuhi permintaan berdasarkan undang-undang untuk menerima di kapalnya seorang terdakwa atau terpidana beserta benda-benda yang berhubungan dengan perkaranya, diancam dengan pidana penjara paling Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  lama empat bulan dua minggu atau pida na denda paling banyak empat ribu lima ratus rupiah.",tidak-diketahui
,BAB XXIX,Pasal 477,"(1)  Seorang nakoda kapal Indonesia yang de ngan sengaja mem biarkan lari, atau melepaskan seorang terdakwa atau te rpidana atau memberi bantuan ketika dilepaskan atau melepaskan diri, padahal orang itu diterima di kapalnya atas permintaan berdasarkan undan g-undang. diancam dengan pidana penjara paling lama empat tahun. (2)  Jika orang itu lari, dilepaskan atau melepaskan dirinya karena kealpaan nakoda itu, maka dia diancam dengan pidana kurungan paling lama dua bulan atau pidana denda paling banyak empat ribu lima ratus rupiah.",tidak-diketahui
,BAB XXIX,Pasal 478,"Seorang nakoda kapal Indonesia yang sengaja tidak memenuhi kewajibannya menurut ayat pertama pasal 358a Kitab Undang- undang Hukum Dagang untuk memberi pertolongan kalau kapal nya te rlibat dalam suatu tabrakan, diancam dengan pidana penjara paling lama empat tahun.",tidak-diketahui
,BAB XXIX,Pasal 479,"Dalam hal pemidanaan berdasarkan salah satu kejahatan yang di- rumuskan dalam pasal 488 - 449,. 446, dan 467, da pat dinyatakan pencabutan hak-hak berdasarkan pasal 35 no. 1 - 4.   KEJAHATAN PENERBANGAN",tidak-diketahui
,BAB XXIX,Pasal 479 a,"(1)  Barang siapa dengan sengaja dan melawan hukum menghancurkan, membuat tidak dapat dipakai atau merusak bangunan untuk pengamanan lalu-lintas udara atau menggagalakan usaha untuk pengamanan bangun teesebut dipidana dengan pidana penj ara selama-lamanya sembilam tahun, (2)  Dengan pidana penjara selama-lamanya sembilan tahun jika karena perbuatan itu timbul bahaya bagi keamanan lalu-lintas udara; (3)  Dengan pidana penjara selama-lamanya lima belas tahun jika karena perbuatan itu mengakibatkan matinya orang.",pengrusakan
